Herr/Frau;Titel;Vorname;Name;Land;Fraktion;Mailadresse
;;Aldo;PATRICIELLO;Italien;Patrioten für Europa;aldo.patriciello@europarl.europa.eu
;;Jutta;PAULUS;Deutschland;der Grünen / Freie Europäische Allianz;jutta.paulus@europarl.europa.eu
;;Ana Miguel;PEDRO;Portugal;der Europäischen Volkspartei (Christdemokraten);anamiguel.pedro@europarl.europa.eu
;;Gaetano;PEDULLA';Italien;Die Linke im Europäischen Parlament - GUE/NGL;gaetano.pedulla'@europarl.europa.eu
;;Thomas;PELLERIN-CARLIN;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;thomas.pellerincarlin@europarl.europa.eu
;;Guillaume;PELTIER;Frankreich;der Europäischen Konservativen und Reformer;guillaume.peltier@europarl.europa.eu
;;Tsvetelina;PENKOVA;Bulgarien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;tsvetelina.penkova@europarl.europa.eu
;;Gilles;PENNELLE;Frankreich;Patrioten für Europa;gilles.pennelle@europarl.europa.eu
;;Lídia;PEREIRA;Portugal;der Europäischen Volkspartei (Christdemokraten);lidia.pereira@europarl.europa.eu
;;Alvise;PÉREZ;Spanien;Fraktionslos;alvise.perez@europarl.europa.eu
;;Kira Marie;PETER-HANSEN;Dänemark;der Grünen / Freie Europäische Allianz;kiramarie.peterhansen@europarl.europa.eu
;;Hristo;PETROV;Bulgarien;Renew Europe;hristo.petrov@europarl.europa.eu
;;Michele;PICARO;Italien;der Europäischen Konservativen und Reformer;michele.picaro@europarl.europa.eu
;;Pina;PICIERNO;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;pina.picierno@europarl.europa.eu
;;Tonino;PICULA;Kroatien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;tonino.picula@europarl.europa.eu
;;Pascale;PIERA;Frankreich;Patrioten für Europa;pascale.piera@europarl.europa.eu
;;Sirpa;PIETIKÄINEN;Finnland;der Europäischen Volkspartei (Christdemokraten);sirpa.pietikainen@europarl.europa.eu
;;Pierre;PIMPIE;Frankreich;Patrioten für Europa;pierre.pimpie@europarl.europa.eu
;;Gheorghe;PIPEREA;Rumänien;der Europäischen Konservativen und Reformer;gheorghe.piperea@europarl.europa.eu
;;Margarita;DE LA PISA CARRIÓN;Spanien;Patrioten für Europa;margarita.delapisacarrion@europarl.europa.eu
;;Jaroslava;POKORNÁ JERMANOVÁ;Tschechien;Patrioten für Europa;jaroslava.pokornajermanova@europarl.europa.eu
;;Daniele;POLATO;Italien;der Europäischen Konservativen und Reformer;daniele.polato@europarl.europa.eu
;;Jessica;POLFJÄRD;Schweden;der Europäischen Volkspartei (Christdemokraten);jessica.polfjard@europarl.europa.eu
;;Virgil-Daniel;POPESCU;Rumänien;der Europäischen Volkspartei (Christdemokraten);virgil-daniel.popescu@europarl.europa.eu
;;Reinis;POZŅAKS;Lettland;der Europäischen Konservativen und Reformer;reinis.poznaks@europarl.europa.eu
;;Vladimir;PREBILIČ;Slowenien;der Grünen / Freie Europäische Allianz;vladimir.prebilic@europarl.europa.eu
;;Giusi;PRINCI;Italien;der Europäischen Volkspartei (Christdemokraten);giusi.princi@europarl.europa.eu
;;Nicola;PROCACCINI;Italien;der Europäischen Konservativen und Reformer;nicola.procaccini@europarl.europa.eu
;;Jacek;PROTAS;Polen;der Europäischen Volkspartei (Christdemokraten);jacek.protas@europarl.europa.eu
;;Friedrich;PÜRNER;Deutschland;Fraktionslos;friedrich.purner@europarl.europa.eu
;;Emil;RADEV;Bulgarien;der Europäischen Volkspartei (Christdemokraten);emil.radev@europarl.europa.eu
;;Dennis;RADTKE;Deutschland;der Europäischen Volkspartei (Christdemokraten);dennis.radtke@europarl.europa.eu
;;Emma;RAFOWICZ;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;emma.rafowicz@europarl.europa.eu
;;Jüri;RATAS;Estland;der Europäischen Volkspartei (Christdemokraten);juri.ratas@europarl.europa.eu
;;Ruggero;RAZZA;Italien;der Europäischen Konservativen und Reformer;ruggero.razza@europarl.europa.eu
;;Julie;RECHAGNEUX;Frankreich;Patrioten für Europa;julie.rechagneux@europarl.europa.eu
;;Evelyn;REGNER;Österreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;evelyn.regner@europarl.europa.eu
;;Terry;REINTKE;Deutschland;der Grünen / Freie Europäische Allianz;terry.reintke@europarl.europa.eu
;;René;REPASI;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;rene.repasi@europarl.europa.eu
;;Sabrina;REPP;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;sabrina.repp@europarl.europa.eu
;;Karlo;RESSLER;Kroatien;der Europäischen Volkspartei (Christdemokraten);karlo.ressler@europarl.europa.eu
;;Thijs;REUTEN;Niederlande;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;thijs.reuten@europarl.europa.eu
;;Diana;RIBA I GINER;Spanien;der Grünen / Freie Europäische Allianz;diana.ribaiginer@europarl.europa.eu
;;Matteo;RICCI;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;matteo.ricci@europarl.europa.eu
;;Chloé;RIDEL;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;chloe.ridel@europarl.europa.eu
;;Nela;RIEHL;Deutschland;der Grünen / Freie Europäische Allianz;nela.riehl@europarl.europa.eu
;;Manuela;RIPA;Deutschland;der Europäischen Volkspartei (Christdemokraten);manuela.ripa@europarl.europa.eu
;;André;RODRIGUES;Portugal;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;andre.rodrigues@europarl.europa.eu
;;Marcos;ROS SEMPERE;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;marcos.rossempere@europarl.europa.eu
;;Katarína;ROTH NEVEĎALOVÁ;Slowakei;Fraktionslos;katarina.rothnevedalova@europarl.europa.eu
;;André;ROUGÉ;Frankreich;Patrioten für Europa;andre.rouge@europarl.europa.eu
;;Bert-Jan;RUISSEN;Niederlande;der Europäischen Konservativen und Reformer;bert-jan.ruissen@europarl.europa.eu
;;Sandro;RUOTOLO;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;sandro.ruotolo@europarl.europa.eu
;;Bogdan;RZOŃCA;Polen;der Europäischen Konservativen und Reformer;bogdan.rzonca@europarl.europa.eu
;;Arash;SAEIDI;Frankreich;Die Linke im Europäischen Parlament - GUE/NGL;arash.saeidi@europarl.europa.eu
;;Massimiliano;SALINI;Italien;der Europäischen Volkspartei (Christdemokraten);massimiliano.salini@europarl.europa.eu
;;Ilaria;SALIS;Italien;Die Linke im Europäischen Parlament - GUE/NGL;ilaria.salis@europarl.europa.eu
;;Aura;SALLA;Finnland;der Europäischen Volkspartei (Christdemokraten);aura.salla@europarl.europa.eu
;;Nacho;SÁNCHEZ AMOR;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;nacho.sanchezamor@europarl.europa.eu
;;Julien;SANCHEZ;Frankreich;Patrioten für Europa;julien.sanchez@europarl.europa.eu
;;Elena;SANCHO MURILLO;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;elena.sanchomurillo@europarl.europa.eu
;;Jussi;SARAMO;Finnland;Die Linke im Europäischen Parlament - GUE/NGL;jussi.saramo@europarl.europa.eu
;;Silvia;SARDONE;Italien;Patrioten für Europa;silvia.sardone@europarl.europa.eu
;;Marjan;ŠAREC;Slowenien;Renew Europe;marjan.sarec@europarl.europa.eu
;;Eric;SARGIACOMO;Frankreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;eric.sargiacomo@europarl.europa.eu
;;Mounir;SATOURI;Frankreich;der Grünen / Freie Europäische Allianz;mounir.satouri@europarl.europa.eu
;;Paulius;SAUDARGAS;Litauen;der Europäischen Volkspartei (Christdemokraten);paulius.saudargas@europarl.europa.eu
;;Majdouline;SBAI;Frankreich;der Grünen / Freie Europäische Allianz;majdouline.sbai@europarl.europa.eu
;;Antonella;SBERNA;Italien;der Europäischen Konservativen und Reformer;antonella.sberna@europarl.europa.eu
;;Christel;SCHALDEMOSE;Dänemark;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;christel.schaldemose@europarl.europa.eu
;;Ernő;SCHALLER-BAROSS;Ungarn;Patrioten für Europa;erno.schallerbaross@europarl.europa.eu
;;Oliver;SCHENK;Deutschland;der Europäischen Volkspartei (Christdemokraten);oliver.schenk@europarl.europa.eu
;;Joanna;SCHEURING-WIELGUS;Polen;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;joanna.scheuringwielgus@europarl.europa.eu
;;Andreas;SCHIEDER;Österreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;andreas.schieder@europarl.europa.eu
;;Lena;SCHILLING;Österreich;der Grünen / Freie Europäische Allianz;lena.schilling@europarl.europa.eu
;;Martin;SCHIRDEWAN;Deutschland;Die Linke im Europäischen Parlament - GUE/NGL;martin.schirdewan@europarl.europa.eu
;;Christine;SCHNEIDER;Deutschland;der Europäischen Volkspartei (Christdemokraten);christine.schneider@europarl.europa.eu
;;Volker;SCHNURRBUSCH;Deutschland;Europa der Souveränen Nationen;volker.schnurrbusch@europarl.europa.eu
;;Andreas;SCHWAB;Deutschland;der Europäischen Volkspartei (Christdemokraten);andreas.schwab@europarl.europa.eu
;;Benedetta;SCUDERI;Italien;der Grünen / Freie Europäische Allianz;benedetta.scuderi@europarl.europa.eu
;;Ralf;SEEKATZ;Deutschland;der Europäischen Volkspartei (Christdemokraten);ralf.seekatz@europarl.europa.eu
;;Alexander;SELL;Deutschland;Europa der Souveränen Nationen;alexander.sell@europarl.europa.eu
;;Rosa;SERRANO SIERRA;Spanien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;rosa.serranosierra@europarl.europa.eu
;;Isabel;SERRA SÁNCHEZ;Spanien;Die Linke im Europäischen Parlament - GUE/NGL;isabel.serrasanchez@europarl.europa.eu
;;Günther;SIDL;Österreich;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;gunther.sidl@europarl.europa.eu
;;Bartłomiej;SIENKIEWICZ;Polen;der Europäischen Volkspartei (Christdemokraten);bartlomiej.sienkiewicz@europarl.europa.eu
;;Lukas;SIEPER;Deutschland;Fraktionslos;lukas.sieper@europarl.europa.eu
;;Sven;SIMON;Deutschland;der Europäischen Volkspartei (Christdemokraten);sven.simon@europarl.europa.eu
;;Christine;SINGER;Deutschland;Renew Europe;christine.singer@europarl.europa.eu
;;Virginijus;SINKEVIČIUS;Litauen;der Grünen / Freie Europäische Allianz;virginijus.sinkevicius@europarl.europa.eu
;;Birgit;SIPPEL;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;birgit.sippel@europarl.europa.eu
;;Jonas;SJÖSTEDT;Schweden;Die Linke im Europäischen Parlament - GUE/NGL;jonas.sjostedt@europarl.europa.eu
;;Krzysztof;ŚMISZEK;Polen;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;krzysztof.smiszek@europarl.europa.eu
;;Anthony;SMITH;Frankreich;Die Linke im Europäischen Parlament - GUE/NGL;anthony.smith@europarl.europa.eu
;;Sander;SMIT;Niederlande;der Europäischen Volkspartei (Christdemokraten);sander.smit@europarl.europa.eu
;;Tomislav;SOKOL;Kroatien;der Europäischen Volkspartei (Christdemokraten);tomislav.sokol@europarl.europa.eu
;;Diego;SOLIER;Spanien;der Europäischen Konservativen und Reformer;diego.solier@europarl.europa.eu
;;Susana;SOLÍS PÉREZ;Spanien;der Europäischen Volkspartei (Christdemokraten);susana.solisperez@europarl.europa.eu
;;Liesbet;SOMMEN;Belgien;der Europäischen Volkspartei (Christdemokraten);liesbet.sommen@europarl.europa.eu
;;Martin;SONNEBORN;Deutschland;Fraktionslos;martin.sonneborn@europarl.europa.eu
;;Malika;SOREL;Frankreich;Fraktionslos;malika.sorel@europarl.europa.eu
;;Hélder;SOUSA SILVA;Portugal;der Europäischen Volkspartei (Christdemokraten);helder.sousasilva@europarl.europa.eu
;;Villy;SØVNDAL;Dänemark;der Grünen / Freie Europäische Allianz;villy.sovndal@europarl.europa.eu
;;Marco;SQUARTA;Italien;der Europäischen Konservativen und Reformer;marco.squarta@europarl.europa.eu
;;Mārtiņš;STAĶIS;Lettland;der Grünen / Freie Europäische Allianz;martins.stakis@europarl.europa.eu
;;Raffaele;STANCANELLI;Italien;Patrioten für Europa;raffaele.stancanelli@europarl.europa.eu
;;Antonín;STANĚK;Tschechien;Patrioten für Europa;antonin.stanek@europarl.europa.eu
;;Nicolae;ȘTEFĂNUȚĂ;Rumänien;der Grünen / Freie Europäische Allianz;nicolae.stefanuta@europarl.europa.eu
;;Petra;STEGER;Österreich;Patrioten für Europa;petra.steger@europarl.europa.eu
;;Davor Ivo;STIER;Kroatien;der Europäischen Volkspartei (Christdemokraten);davorivo.stier@europarl.europa.eu
;;Kristoffer;STORM;Dänemark;der Europäischen Konservativen und Reformer;kristoffer.storm@europarl.europa.eu
;;Stanislav;STOYANOV;Bulgarien;Europa der Souveränen Nationen;stanislav.stoyanov@europarl.europa.eu
;;Marie-Agnes;STRACK-ZIMMERMANN;Deutschland;Renew Europe;marie-agnes.strackzimmermann@europarl.europa.eu
;;Cecilia;STRADA;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;cecilia.strada@europarl.europa.eu
;;Joachim;STREIT;Deutschland;Renew Europe;joachim.streit@europarl.europa.eu
;;Tineke;STRIK;Niederlande;der Grünen / Freie Europäische Allianz;tineke.strik@europarl.europa.eu
;;Anna;STROLENBERG;Niederlande;der Grünen / Freie Europäische Allianz;anna.strolenberg@europarl.europa.eu
;;Şerban Dimitrie;STURDZA;Rumänien;der Europäischen Konservativen und Reformer;serbandimitrie.sturdza@europarl.europa.eu
;;Anna;STÜRGKH;Österreich;Renew Europe;anna.sturgkh@europarl.europa.eu
;;Marcin;SYPNIEWSKI;Polen;Europa der Souveränen Nationen;marcin.sypniewski@europarl.europa.eu
;;Michał;SZCZERBA;Polen;der Europäischen Volkspartei (Christdemokraten);michal.szczerba@europarl.europa.eu
;;Pál;SZEKERES;Ungarn;Patrioten für Europa;pal.szekeres@europarl.europa.eu
;;Beata;SZYDŁO;Polen;der Europäischen Konservativen und Reformer;beata.szydlo@europarl.europa.eu
;;Dario;TAMBURRANO;Italien;Die Linke im Europäischen Parlament - GUE/NGL;dario.tamburrano@europarl.europa.eu
;;António;TÂNGER CORRÊA;Portugal;Patrioten für Europa;antonio.tangercorrea@europarl.europa.eu
;;Dominik;TARCZYŃSKI;Polen;der Europäischen Konservativen und Reformer;dominik.tarczynski@europarl.europa.eu
;;Marco;TARQUINIO;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;marco.tarquinio@europarl.europa.eu
;;Zoltán;TARR;Ungarn;der Europäischen Volkspartei (Christdemokraten);zoltan.tarr@europarl.europa.eu
;;Claudiu-Richard;TÂRZIU;Rumänien;der Europäischen Konservativen und Reformer;claudiu-richard.tarziu@europarl.europa.eu
;;Carla;TAVARES;Portugal;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;carla.tavares@europarl.europa.eu
;;Kai;TEGETHOFF;Deutschland;der Grünen / Freie Europäische Allianz;kai.tegethoff@europarl.europa.eu
;;Marta;TEMIDO;Portugal;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;marta.temido@europarl.europa.eu
;;Georgiana;TEODORESCU;Rumänien;der Europäischen Konservativen und Reformer;georgiana.teodorescu@europarl.europa.eu
;;Alice;TEODORESCU MÅWE;Schweden;der Europäischen Volkspartei (Christdemokraten);alice.teodorescumawe@europarl.europa.eu
;;Cristian;TERHEŞ;Rumänien;der Europäischen Konservativen und Reformer;cristian.terhes@europarl.europa.eu
;;Ingeborg;TER LAAK;Niederlande;der Europäischen Volkspartei (Christdemokraten);ingeborg.terlaak@europarl.europa.eu
;;Riho;TERRAS;Estland;der Europäischen Volkspartei (Christdemokraten);riho.terras@europarl.europa.eu
;;Hermann;TERTSCH;Spanien;Patrioten für Europa;hermann.tertsch@europarl.europa.eu
;;Pierre-Romain;THIONNET;Frankreich;Patrioten für Europa;pierre-romain.thionnet@europarl.europa.eu
;;Beatrice;TIMGREN;Schweden;der Europäischen Konservativen und Reformer;beatrice.timgren@europarl.europa.eu
;;Irene;TINAGLI;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;irene.tinagli@europarl.europa.eu
;;Bruno;TOBBACK;Belgien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;bruno.tobback@europarl.europa.eu
;;Tomas;TOBÉ;Schweden;der Europäischen Volkspartei (Christdemokraten);tomas.tobe@europarl.europa.eu
;;Rody;TOLASSY;Frankreich;Patrioten für Europa;rody.tolassy@europarl.europa.eu
;;Eugen;TOMAC;Rumänien;Renew Europe;eugen.tomac@europarl.europa.eu
;;Zala;TOMAŠIČ;Slowenien;der Europäischen Volkspartei (Christdemokraten);zala.tomasic@europarl.europa.eu
;;Waldemar;TOMASZEWSKI;Litauen;der Europäischen Konservativen und Reformer;waldemar.tomaszewski@europarl.europa.eu
;;Romana;TOMC;Slowenien;der Europäischen Volkspartei (Christdemokraten);romana.tomc@europarl.europa.eu
;;Matej;TONIN;Slowenien;der Europäischen Volkspartei (Christdemokraten);matej.tonin@europarl.europa.eu
;;Jana;TOOM;Estland;Renew Europe;jana.toom@europarl.europa.eu
;;Raffaele;TOPO;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;raffaele.topo@europarl.europa.eu
;;Francesco;TORSELLI;Italien;der Europäischen Konservativen und Reformer;francesco.torselli@europarl.europa.eu
;;Flavio;TOSI;Italien;der Europäischen Volkspartei (Christdemokraten);flavio.tosi@europarl.europa.eu
;;Marie;TOUSSAINT;Frankreich;der Grünen / Freie Europäische Allianz;marie.toussaint@europarl.europa.eu
;;Isabella;TOVAGLIERI;Italien;Patrioten für Europa;isabella.tovaglieri@europarl.europa.eu
;;Pekka;TOVERI;Finnland;der Europäischen Volkspartei (Christdemokraten);pekka.toveri@europarl.europa.eu
;;Pasquale;TRIDICO;Italien;Die Linke im Europäischen Parlament - GUE/NGL;pasquale.tridico@europarl.europa.eu
;;Laurence;TROCHU;Frankreich;der Europäischen Konservativen und Reformer;laurence.trochu@europarl.europa.eu
;;Dimitris;TSIODRAS;Griechenland;der Europäischen Volkspartei (Christdemokraten);dimitris.tsiodras@europarl.europa.eu
;;Mihai;TUDOSE;Rumänien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;mihai.tudose@europarl.europa.eu
;;Sebastian;TYNKKYNEN;Finnland;der Europäischen Konservativen und Reformer;sebastian.tynkkynen@europarl.europa.eu
;;Stanisław;TYSZKA;Polen;Europa der Souveränen Nationen;stanislaw.tyszka@europarl.europa.eu
;;Milan;UHRÍK;Slowakei;Europa der Souveränen Nationen;milan.uhrik@europarl.europa.eu
;;Nils;UŠAKOVS;Lettland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;nils.usakovs@europarl.europa.eu
;;Inese;VAIDERE;Lettland;der Europäischen Volkspartei (Christdemokraten);inese.vaidere@europarl.europa.eu
;;Ivaylo;VALCHEV;Bulgarien;der Europäischen Konservativen und Reformer;ivaylo.valchev@europarl.europa.eu
;;Adina;VĂLEAN;Rumänien;der Europäischen Volkspartei (Christdemokraten);adina.valean@europarl.europa.eu
;;Matthieu;VALET;Frankreich;Patrioten für Europa;matthieu.valet@europarl.europa.eu
;;Kathleen;VAN BREMPT;Belgien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;kathleen.vanbrempt@europarl.europa.eu
;;Anouk;VAN BRUG;Niederlande;Renew Europe;anouk.vanbrug@europarl.europa.eu
;;Brigitte;VAN DEN BERG;Niederlande;Renew Europe;brigitte.vandenberg@europarl.europa.eu
;;Tom;VANDENDRIESSCHE;Belgien;Patrioten für Europa;tom.vandendriessche@europarl.europa.eu
;;Kris;VAN DIJCK;Belgien;der Europäischen Konservativen und Reformer;kris.vandijck@europarl.europa.eu
;;Reinier;VAN LANSCHOT;Niederlande;der Grünen / Freie Europäische Allianz;reinier.vanlanschot@europarl.europa.eu
;;Jessika;VAN LEEUWEN;Niederlande;der Europäischen Volkspartei (Christdemokraten);jessika.vanleeuwen@europarl.europa.eu
;;Roberto;VANNACCI;Italien;Patrioten für Europa;roberto.vannacci@europarl.europa.eu
;;Johan;VAN OVERTVELDT;Belgien;der Europäischen Konservativen und Reformer;johan.vanovertveldt@europarl.europa.eu
;;Kim;VAN SPARRENTAK;Niederlande;der Grünen / Freie Europäische Allianz;kim.vansparrentak@europarl.europa.eu
;;Alexandre;VARAUT;Frankreich;Patrioten für Europa;alexandre.varaut@europarl.europa.eu
;;Ana;VASCONCELOS;Portugal;Renew Europe;ana.vasconcelos@europarl.europa.eu
;;Vlad;VASILE-VOICULESCU;Rumänien;Renew Europe;vlad.vasilevoiculescu@europarl.europa.eu
;;Hilde;VAUTMANS;Belgien;Renew Europe;hilde.vautmans@europarl.europa.eu
;;Francesco;VENTOLA;Italien;der Europäischen Konservativen und Reformer;francesco.ventola@europarl.europa.eu
;;Sabine;VERHEYEN;Deutschland;der Europäischen Volkspartei (Christdemokraten);sabine.verheyen@europarl.europa.eu
;;Yvan;VEROUGSTRAETE;Belgien;Renew Europe;yvan.verougstraete@europarl.europa.eu
;;Aurelijus;VERYGA;Litauen;der Europäischen Konservativen und Reformer;aurelijus.veryga@europarl.europa.eu
;;Marko;VEŠLIGAJ;Kroatien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;marko.vesligaj@europarl.europa.eu
;;Annamária;VICSEK;Ungarn;Patrioten für Europa;annamaria.vicsek@europarl.europa.eu
;;Catarina;VIEIRA;Niederlande;der Grünen / Freie Europäische Allianz;catarina.vieira@europarl.europa.eu
;;Kristian;VIGENIN;Bulgarien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;kristian.vigenin@europarl.europa.eu
;;Harald;VILIMSKY;Österreich;Patrioten für Europa;harald.vilimsky@europarl.europa.eu
;;Loránt;VINCZE;Rumänien;der Europäischen Volkspartei (Christdemokraten);lorant.vincze@europarl.europa.eu
;;Marianne;VIND;Dänemark;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;marianne.vind@europarl.europa.eu
;;Anders;VISTISEN;Dänemark;Patrioten für Europa;anders.vistisen@europarl.europa.eu
;;Mariateresa;VIVALDINI;Italien;der Europäischen Konservativen und Reformer;mariateresa.vivaldini@europarl.europa.eu
;;Petar;VOLGIN;Bulgarien;Europa der Souveränen Nationen;petar.volgin@europarl.europa.eu
;;Michael;VON DER SCHULENBURG;Deutschland;Fraktionslos;michael.vonderschulenburg@europarl.europa.eu
;;Alexandr;VONDRA;Tschechien;der Europäischen Konservativen und Reformer;alexandr.vondra@europarl.europa.eu
;;Axel;VOSS;Deutschland;der Europäischen Volkspartei (Christdemokraten);axel.voss@europarl.europa.eu
;;Elissavet;VOZEMBERG-VRIONIDI;Griechenland;der Europäischen Volkspartei (Christdemokraten);elissavet.vozembergvrionidi@europarl.europa.eu
;;Veronika;VRECIONOVÁ;Tschechien;der Europäischen Konservativen und Reformer;veronika.vrecionova@europarl.europa.eu
;;Adrián;VÁZQUEZ LÁZARA;Spanien;der Europäischen Volkspartei (Christdemokraten);adrian.vazquezlazara@europarl.europa.eu
;;Thomas;WAITZ;Österreich;der Grünen / Freie Europäische Allianz;thomas.waitz@europarl.europa.eu
;;Maria;WALSH;Irland;der Europäischen Volkspartei (Christdemokraten);maria.walsh@europarl.europa.eu
;;Marion;WALSMANN;Deutschland;der Europäischen Volkspartei (Christdemokraten);marion.walsmann@europarl.europa.eu
;;Jörgen;WARBORN;Schweden;der Europäischen Volkspartei (Christdemokraten);jorgen.warborn@europarl.europa.eu
;;Jan-Peter;WARNKE;Deutschland;Fraktionslos;jan-peter.warnke@europarl.europa.eu
;;Maciej;WĄSIK;Polen;der Europäischen Konservativen und Reformer;maciej.wasik@europarl.europa.eu
;;Michał;WAWRYKIEWICZ;Polen;der Europäischen Volkspartei (Christdemokraten);michal.wawrykiewicz@europarl.europa.eu
;;Marta;WCISŁO;Polen;der Europäischen Volkspartei (Christdemokraten);marta.wcislo@europarl.europa.eu
;;Manfred;WEBER;Deutschland;der Europäischen Volkspartei (Christdemokraten);manfred.weber@europarl.europa.eu
;;Andrea;WECHSLER;Deutschland;der Europäischen Volkspartei (Christdemokraten);andrea.wechsler@europarl.europa.eu
;;Charlie;WEIMERS;Schweden;der Europäischen Konservativen und Reformer;charlie.weimers@europarl.europa.eu
;;Séverine;WERBROUCK;Frankreich;Patrioten für Europa;severine.werbrouck@europarl.europa.eu
;;Emma;WIESNER;Schweden;Renew Europe;emma.wiesner@europarl.europa.eu
;;Michal;WIEZIK;Slowakei;Renew Europe;michal.wiezik@europarl.europa.eu
;;Sophie;WILMÈS;Belgien;Renew Europe;sophie.wilmes@europarl.europa.eu
;;Iuliu;WINKLER;Rumänien;der Europäischen Volkspartei (Christdemokraten);iuliu.winkler@europarl.europa.eu
;;Angelika;WINZIG;Österreich;der Europäischen Volkspartei (Christdemokraten);angelika.winzig@europarl.europa.eu
;;Isabel;WISELER-LIMA;Luxemburg;der Europäischen Volkspartei (Christdemokraten);isabel.wiselerlima@europarl.europa.eu
;;Jadwiga;WIŚNIEWSKA;Polen;der Europäischen Konservativen und Reformer;jadwiga.wisniewska@europarl.europa.eu
;;Tiemo;WÖLKEN;Deutschland;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;tiemo.wolken@europarl.europa.eu
;;Lara;WOLTERS;Niederlande;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;lara.wolters@europarl.europa.eu
;;Lucia;YAR;Slowakei;Renew Europe;lucia.yar@europarl.europa.eu
;;Stéphanie;YON-COURTIN;Frankreich;Renew Europe;stephanie.yoncourtin@europarl.europa.eu
;;Elena;YONCHEVA;Bulgarien;Fraktionslos;elena.yoncheva@europarl.europa.eu
;;Maria;ZACHARIA;Griechenland;Fraktionslos;maria.zacharia@europarl.europa.eu
;;Ewa;ZAJĄCZKOWSKA-HERNIK;Polen;Europa der Souveränen Nationen;ewa.zajaczkowskahernik@europarl.europa.eu
;;Anna;ZALEWSKA;Polen;der Europäischen Konservativen und Reformer;anna.zalewska@europarl.europa.eu
;;Dainius;ŽALIMAS;Litauen;Renew Europe;dainius.zalimas@europarl.europa.eu
;;Alessandro;ZAN;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;alessandro.zan@europarl.europa.eu
;;Javier;ZARZALEJOS;Spanien;der Europäischen Volkspartei (Christdemokraten);javier.zarzalejos@europarl.europa.eu
;;Tomáš;ZDECHOVSKÝ;Tschechien;der Europäischen Volkspartei (Christdemokraten);tomas.zdechovsky@europarl.europa.eu
;;Bogdan Andrzej;ZDROJEWSKI;Polen;der Europäischen Volkspartei (Christdemokraten);bogdanandrzej.zdrojewski@europarl.europa.eu
;;Auke;ZIJLSTRA;Niederlande;Patrioten für Europa;auke.zijlstra@europarl.europa.eu
;;Roberts;ZĪLE;Lettland;der Europäischen Konservativen und Reformer;roberts.zile@europarl.europa.eu
;;Nicola;ZINGARETTI;Italien;der Progressiven Allianz der Sozialdemokraten im Europäischen Parlament;nicola.zingaretti@europarl.europa.eu
;;Kosma;ZŁOTOWSKI;Polen;der Europäischen Konservativen und Reformer;kosma.zlotowski@europarl.europa.eu
;;Juan Ignacio;ZOIDO ÁLVAREZ;Spanien;der Europäischen Volkspartei (Christdemokraten);juanignacio.zoidoalvarez@europarl.europa.eu
;;Željana;ZOVKO;Kroatien;der Europäischen Volkspartei (Christdemokraten);zeljana.zovko@europarl.europa.eu
